VDS_CD,TRFFCVLM,OCCPNCY,SPD_AVG,Start or End,point,geometry,length,count,black-spot
0010VDS21400,4432337,7.325,87.18833333,S,277.1,"LINESTRING (127.41956808658746 36.404950985460175, 127.42055578979591 36.40754341459416)",301,0,0
0010VDS21600,13278253,6.998,95.152,S,279.3,"LINESTRING (127.42055912583571 36.40755471260447, 127.42241963783442 36.416323640928745)",987,1,0.075311112
0010VDS21610,2176754,7.571,37.912,S,282.1,"LINESTRING (127.42241648125291 36.416364939809554, 127.4174265978544 36.42971900423442)",1548,1,0.459399638
0010VDS21700,14657700,6.371,92.503,S,280.9,"LINESTRING (127.41742876641905 36.42967360628083, 127.41982747817207 36.438500954134845)",1003,0,0
0010VDS21800,18041381,7.655,97.976,S,281.9,"LINESTRING (127.41982978574909 36.43851380626974, 127.41999068831066 36.440316786124875)",201,0,0
0010VDS21900,15977467,6.186,94.37,S,283.1,"LINESTRING (127.41998987674243 36.44033590087475, 127.41842538914766 36.44926827231922)",1001,0,0
0010VDS22000,15792383,9.023,85.059,S,283.9,"LINESTRING (127.41842447525623 36.44927269406745, 127.4167305848705 36.456375595614375)",803,1,0.063321666
0010VDS22100,18264222,7.031,88.16,S,285.2,"LINESTRING (127.41672909385626 36.45633611928011, 127.42010260762717 36.466948116282)",1216,0,0
0010VDS22200,14644519,6.723,95.906,S,286.1,"LINESTRING (127.420062518204 36.46689906142405, 127.42801781523039 36.47183716694602)",899,1,0.068284933
0010VDS22300,13692130,6.356,94.006,S,287.1,"LINESTRING (127.42805790359341 36.47188619203278, 127.43082851488403 36.480584679567954)",997,1,0.073034656
0010VDS22400,12938317,7.181,88.493,S,288.4,"LINESTRING (127.43083187003161 36.480612039458535, 127.43004078679436 36.49234807020589)",1304,0,0
0010VDS22500,15296306,5.787,100.705,S,289.1,"LINESTRING (127.43004076197286 36.49234842546667, 127.42958377099542 36.498666865897796)",702,0,0
0010VDS22600,18226573,6.718,96.113,S,289.8,"LINESTRING (127.42958377626206 36.49866679257328, 127.4291330852892 36.504985542998725)",702,0,0
0010VDS22700,17385768,7.691,94.04,S,290.8,"LINESTRING (127.42913324886376 36.50497860649495, 127.42935036179786 36.51398698630848)",1000,0,0
0010VDS22710,581529,13.44166667,53.13166667,S,293,"LINESTRING (127.42934553475726 36.5139624664697, 127.43224644435001 36.521647683915575)",892,0,0
0010VDS22800,10420911,8.485,91.217,S,291.7,"LINESTRING (127.4322502502577 36.52168625562768, 127.43032036605936 36.53299870741148)",1267,1,0.0959609
0010VDS23000,10639510,23.53875,75.50125,S,294.1,"LINESTRING (127.43032069004359 36.53297618969719, 127.43171800398696 36.542857508428426)",1104,0,0
0010VDS23010,4194285,3.137,107.569,S,296.6,"LINESTRING (127.43171864755675 36.54286438572233, 127.43221386301676 36.55362708528083)",1195,0,0
0010VDS23050,2652003,5.435,78.158,S,295.3,"LINESTRING (127.43221327051538 36.55364028341374, 127.43064058682633 36.565177854876914)",1288,0,0
0010VDS23350,11055920,7.2,85.36666667,S,298.7,"LINESTRING (127.43064014808681 36.56518066583473, 127.42735037421666 36.583877348877095)",2096,1,0.09044928
0010VDS23400,13800991,7.6,78.874,S,298.9,"LINESTRING (127.42735148350262 36.583864671878096, 127.42735168610123 36.5856669018808)",200,0,0
0010VDS23500,6050882,13.208,77.921,S,300.5,"LINESTRING (127.42734081019748 36.58570569766851, 127.41988482286617 36.598318993913814)",1551,0,0
0010VDS23600,7889387,5.816,91.285,S,301.9,"LINESTRING (127.41985595813327 36.59834912917684, 127.4079825550443 36.606417676258005)",1389,2,0.25350512
0010VDS23610,1546295,5.722,71.468,S,305.2,"LINESTRING (127.40797632717005 36.606421612404915, 127.40072362394724 36.61067976635411)",803,0,0
0010VDS23700,8071777,11.741,83.207,S,302.7,"LINESTRING (127.4007256280015 36.61067856201398, 127.38737092279618 36.618891249507804)",1503,0,0
0010VDS23800,6406950,5.036,92.57,S,304.2,"LINESTRING (127.3874063234166 36.6188542582805, 127.38313353249728 36.62711542194995)",993,0,0
0010VDS23900,8851142,7.364,81.381,S,305.8,"LINESTRING (127.38313727855873 36.627107034788395, 127.38118228502358 36.63227200653258)",599,0,0
0010VDS24000,541347,27.041,100.606,S,306.8,"LINESTRING (127.38118230007215 36.632271966745094, 127.37792761085892 36.64088326965015)",999,1,1.847244004
